3250	1	129876	0	15437	4	6885	20	10450	2	4094	80	6653	100	7979	0	1626	0	2535	0	4076	0	2623	0	4474	70	7519	0	11275	30	10856	100	9565	50	7736	48	3407	50	6001	-999	-999	0	3010	100	3675	14.1241666666667	1	38	33	0	20	0	1	-999	1	0	0	19	2	2	2	2	3	4	3.83333333333333	1.875	2.625	1	4	1.5	3	4	2.5	2.72727272727273	1.9	4.45454545454545	4.90909090909091	3.2	2.76470588235294
3250	1	142870	-5	6809	1	3711	30	6370	3	4362	0	4526	70	19263	0	2531	0	2654	0	3237	0	4474	0	3989	0	3483	60	9945	60	9129	80	8575	70	5786	100	13255	80	13750	-999	-999	40	13334	100	3687	15.6575	2	38	33	0	20	0	2	92	1	92	92	19	2	2	2	2	3	4	3.83333333333333	1.875	2.625	1	4	1.5	3	4	2.5	2.72727272727273	1.9	4.45454545454545	4.90909090909091	3.2	2.76470588235294
3250	1	93726	5	7645	4	9907	10	9720	2	4201	100	4552	100	4115	0	2076	0	1948	0	4219	0	3425	0	2417	0	2512	0	2303	0	2987	80	5669	0	7296	30	10090	0	2029	-999	-999	0	3225	100	3390	16.9908333333333	3	38	33	0	20	0	3	80	1	172	172	19	2	2	2	2	3	4	3.83333333333333	1.875	2.625	1	4	1.5	3	4	2.5	2.72727272727273	1.9	4.45454545454545	4.90909090909091	3.2	2.76470588235294
3250	1	71790	10	7094	4	14261	0	3170	1	6909	100	2225	100	2730	0	1392	70	4874	0	1434	0	1906	0	1963	0	4502	0	2420	0	1656	0	2426	0	2522	0	1905	0	3214	0	2766	-999	-999	100	2421	18.7408333333333	4	38	33	0	20	0	4	105	1	277	277	19	2	2	2	2	3	4	3.83333333333333	1.875	2.625	1	4	1.5	3	4	2.5	2.72727272727273	1.9	4.45454545454545	4.90909090909091	3.2	2.76470588235294
3250	1	123410	5	10348	4	4774	65	8076	3	2211	45	8958	35	6450	0	3662	0	2674	70	5665	65	3921	75	8944	100	3758	60	5839	75	12801	10	5375	0	12629	25	4724	30	4528	-999	-999	0	4614	40	3459	20.2241666666667	5	38	33	0	20	0	5	88.9999999999998	1	366	366	19	2	2	2	2	3	4	3.83333333333333	1.875	2.625	1	4	1.5	3	4	2.5	2.72727272727273	1.9	4.45454545454545	4.90909090909091	3.2	2.76470588235294
3250	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	9.12416666666667	6	38	33	0	0	0	-999	-999	2	1140	0	19	2	2	2	2	3	4	3.83333333333333	1.875	2.625	1	4	1.5	3	4	2.5	2.72727272727273	1.9	4.45454545454545	4.90909090909091	3.2	2.76470588235294
3250	1	115681	0	6267	1	5966	30	5988	3	2033	0	5783	100	3729	0	1899	0	1720	55	7817	20	14942	0	2145	0	2000	45	7496	40	16037	0	11895	0	1673	100	4268	45	5286	-999	-999	0	6497	100	2240	10.4741666666667	7	38	33	0	20	0	6	81	2	1221	81	19	2	2	2	2	3	4	3.83333333333333	1.875	2.625	1	4	1.5	3	4	2.5	2.72727272727273	1.9	4.45454545454545	4.90909090909091	3.2	2.76470588235294
3250	1	109497	5	23382	4	3526	60	4842	2	3115	100	3354	71	4196	0	1492	15	2842	43	7382	0	2650	84	3027	78	3544	74	2251	77	15659	100	2169	87	2135	100	3168	100	2894	-999	-999	71	10933	71	6936	12.1241666666667	8	38	33	0	20	0	7	99	2	1320	180	19	2	2	2	2	3	4	3.83333333333333	1.875	2.625	1	4	1.5	3	4	2.5	2.72727272727273	1.9	4.45454545454545	4.90909090909091	3.2	2.76470588235294
3250	1	437585	-10	55532	1	11616	85	6497	2	3208	80	174927	0	4716	0	18795	0	3038	100	5363	100	4067	70	4667	100	76254	0	2527	0	2749	0	1898	0	20533	0	12621	0	3666	-999	-999	85	22358	0	2553	13.7741666666667	9	38	33	0	20	0	8	99	2	1419	279	19	2	2	2	2	3	4	3.83333333333333	1.875	2.625	1	4	1.5	3	4	2.5	2.72727272727273	1.9	4.45454545454545	4.90909090909091	3.2	2.76470588235294
3250	1	76160	0	14385	1	4558	70	8271	2	1947	75	6046	31	4026	0	1151	0	1802	71	2069	69	4165	70	3003	70	2352	0	1805	0	2361	2	1936	0	1375	0	2199	10	4477	-999	-999	80	5367	33	2865	15.2575	10	38	33	0	20	0	9	88.9999999999999	2	1508	368	19	2	2	2	2	3	4	3.83333333333333	1.875	2.625	1	4	1.5	3	4	2.5	2.72727272727273	1.9	4.45454545454545	4.90909090909091	3.2	2.76470588235294
